salon;edition_annee;entreprise;secteur_metier;site_web;email;type_email;email_origine;email_annuaire;email_site;email_site_source;nom_contact;fonction;ville;departement;telephone;source_url;date_collecte;statut_validation;segment_ICP
Medfel;2026;Groupe EDF;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/edf-commerce-mediterranee/;2026-06-20;a_enrichir;Haute
Medfel;2026;NECTAPECHES;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/nectapeches/;2026-06-20;a_enrichir;Haute
Medfel;2026;MUTUELLE PRÉVIFRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/mutuelle-previfrance/;2026-06-20;a_enrichir;Haute
Medfel;2026;COLLECTIF NOUVEAUX CHAMPS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/collectif-nouveaux-champs/;2026-06-20;a_enrichir;Haute
Medfel;2026;REDEN;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/reden/;2026-06-20;a_enrichir;Haute
Medfel;2026;UBBAK;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ubbak/;2026-06-20;a_enrichir;Haute
Medfel;2026;QAIR FRANCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/qair-france/;2026-06-20;a_enrichir;Haute
Medfel;2026;FERME DE LA MOTTE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ferme-de-la-motte/;2026-06-20;a_enrichir;Haute
Medfel;2026;GRAND HOPITAL SARL;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/grand-hopital-sarl/;2026-06-20;a_enrichir;Haute
Medfel;2026;Hectre Group Limited;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/hectre-group-limited/;2026-06-20;a_enrichir;Haute
Medfel;2026;MASSAFERRO / ARTERRIS LEGUMES;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/massaferro-arterris-legume/;2026-06-20;a_enrichir;Haute
Medfel;2026;EL MOUKHTAR.CO;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/el-moukhtar-co/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAINT REMY BASILIC;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/saint-remy-basilic/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAS ESTAGEL Le Fruit d’Henri;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sas-estagel-le-fruit-dhenri/;2026-06-20;a_enrichir;Haute
Medfel;2026;PICVERT;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/picvert/;2026-06-20;a_enrichir;Haute
Medfel;2026;DEMAIN LA TERRE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/demain-la-terre/;2026-06-20;a_enrichir;Haute
Medfel;2026;GHIS-CAR FRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/ghis-car-fruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;MESFRUITS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/mesfruits-jmc-fruits/;2026-06-20;a_enrichir;Haute
Medfel;2026;EUROFINS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/eurofins/;2026-06-20;a_enrichir;Haute
Medfel;2026;TILLEUL (SARL du);Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/tilleul-sarl-du/;2026-06-20;a_enrichir;Haute
Medfel;2026;LE JARDIN DE MON PERE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/le-jardin-de-mon-pere/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAS PAUL HUOT LES JUMELLES;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sas-paul-huot-les-jumelles/;2026-06-20;a_enrichir;Haute
Medfel;2026;NEABIO;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/neabio/;2026-06-20;a_enrichir;Haute
Medfel;2026;SARL LES FRUITS DU ROUSSILLON;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sarl-les-fruits-du-roussillon/;2026-06-20;a_enrichir;Haute
Medfel;2026;ABRICOT DES BARONNIES IGP;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/abricot-des-baronnies-igp/;2026-06-20;a_enrichir;Haute
Medfel;2026;O’DELICE / CUADRASPANIA;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/odelice-cuadraspania/;2026-06-20;a_enrichir;Haute
Medfel;2026;DOMAINES DE LA TASTE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/domaines-de-la-taste/;2026-06-20;a_enrichir;Haute
Medfel;2026;ANIMA IMPEX;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/anima-impex/;2026-06-20;a_enrichir;Haute
Medfel;2026;GADIRIA PRIMEURS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/gadiria-primeurs/;2026-06-20;a_enrichir;Haute
Medfel;2026;FERMASYSTEM;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/fermasystem/;2026-06-20;a_enrichir;Haute
Medfel;2026;CAVARE PACKAGING;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/cavare-packaging/;2026-06-20;a_enrichir;Haute
Medfel;2026;SOFRUCE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sofruce/;2026-06-20;a_enrichir;Haute
Medfel;2026;SAS FRUITS 2000 ARDECHE;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/sas-fruits-2000-ardeche/;2026-06-20;a_enrichir;Haute
Medfel;2026;5T SAS;Fruits & légumes / négoce (Medfel);;;;;;;;;;;;;https://medfel.com/exposants/5t-sas/;2026-06-20;a_enrichir;Haute
